[2025-09-15T07:32:50.651Z] XAU/USD: 3637475000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x9f46143ab79685c7f61c88f5de8826e8a75dca3f30d17345318b3d37c4131a86
[2025-09-17T16:04:21.681Z] XAU/USD: 3685858874997500000000 | USD/VND: 26367500000000000000000 | Tx: 0x6f3a0e3dc68eafbdf4ea0c78ab67f09d97b49642360b10b51da268dcb9106ae3
[2025-09-17T16:09:21.532Z] XAU/USD: 3686966000003750150000 | USD/VND: 26367500000000000000000 | Tx: 0xa8dfee26659c1b1a488e42aaf21d67da2af34c648eb98a9c506b2ab594c476c8
[2025-09-17T16:14:22.848Z] XAU/USD: 3685915450000000000000 | USD/VND: 26367500000000000000000 | Tx: 0x73c3bd25e728f0793fb0f390e6ee9df6aa423496c63debe281a65b66340a8518
[2025-09-17T16:28:08.048Z] XAU/USD: 3668121650000000000000 | USD/VND: 26370000000000000000000 | Tx: 0x51d1205f149ef80cdcfcac4ca38cd4daf5e1f47914be1b079a79a85bafc0840d
[2025-09-17T16:33:07.921Z] XAU/USD: 3667379999990000000000 | USD/VND: 26370000000000000000000 | Tx: 0x7515bd0ba450f39474024f11e9e28ac04babe9f62eac807cd97630be0fa11620
[2025-09-18T11:49:57.995Z] XAU/USD: 3666675000010000000000 | USD/VND: 26370000000000000000000 | Tx: 0x9e6c3d3919ac5e66f36cc198b868693a4f2b6e8dda12fddbb8e980afecc6668f
[2025-09-18T11:54:58.954Z] XAU/USD: 3667782500015000000000 | USD/VND: 26370000000000000000000 | Tx: 0x54b76da398c2ed61ac70aeadeeb5c9885f2c75b3f42f1d83e7ada3f0f5e60e5f
[2025-09-18T12:40:57.314Z] XAU/USD: 3669012874887499700000 | USD/VND: 26370000000000000000000 | Tx: 0xca3074f220db849a549ed104377eb49049a11a2ae1398f255c8a172cc0b02cfc
[2025-09-18T12:45:58.312Z] XAU/USD: 3668706062470000000000 | USD/VND: 26370000000000000000000 | Tx: 0x7223628f3aed63bad4d48b79607a43b2e1056b40f6eb1909476788473036e6f7
[2025-09-18T12:50:58.431Z] XAU/USD: 3668246025105000150000 | USD/VND: 26370000000000000000000 | Tx: 0xbe76ce09692118065a46d2a918cf995ece253a51d3255a009c18e97429ee83bf
[2025-09-18T12:55:57.258Z] XAU/USD: 3667512500112500000000 | USD/VND: 26370000000000000000000 | Tx: 0xc358a6827944f1856b0b7361380f9466bf297ecf7c8df056163efd8f84615f90
[2025-09-18T13:00:57.511Z] XAU/USD: 3661687499960000100000 | USD/VND: 26370000000000000000000 | Tx: 0x35cf0ff5b7c59d35e2c67eb5b3eaf706b86e0b83d5a10a975c106ce7decbeaca
